"Category","Number","Variable","Movement","Movement.short","Catshort","MovmtNumberContin","Percent_DR_High","Placement","IB_rev_cat"
"equip",1,"IB_equip_1 ","Movement of feed onto production sites ","Feed onto production sites ",NA,1,58.54,"Unclear Consensus","2 to 7 days"
"equip",2,"IB_equip_2 ","Movement of supplies onto production sites ","Supplies onto production sites ",NA,2,53.85,"Unclear Consensus","7 to 14 days"
"equip",3,"IB_equip_3 ","Movement of shared equipment onto production sites ","Shared equipment onto production sites ","Equipment",3,75.61,"High","7 to 14 days"
"equip",4,"IB_equip_4 ","Movement of contracted or shared livestock trucks onto production sites ","Contracted or shared livestock trucks onto production sites ",NA,4,78.57,"High","2 to 7 days"
"equip",5,"IB_equip_5 ","Movement of dedicated livestock trucks among company production sites ","Dedicated livestock trucks among company production sites ",NA,5,60,"Unclear Consensus","2 to 7 days"
"general",1,"IB_general_1 ","Movement of weaned pigs to offsite nursery, wean to finish, or finishing (single source) ","Weaned pigs to offsite nursery, wean to finish, or finishing (single source) ",NA,6,59.52,"Unclear Consensus","2 to 7 days"
"general",10,"IB_general_10 ","Movement of finishing pigs direct to slaughter ","Finishing pigs direct to slaughter ",NA,7,77.78,"High","7 to 14 days"
"general",11,"IB_general_11 ","Movement of replacement gilts into a sow unit ","Replacement gilts into a sow unit ",NA,8,69.44,"Unclear Consensus","14 to 21 days"
"general",2,"IB_general_2 ","Movement of weaned pigs to offsite nursery, wean to finish, or finishing (multiple sources) ","Weaned pigs to offsite nursery, wean to finish, or finishing (multiple sources) ",NA,9,89.74,"High","2 to 7 days"
"general",3,"IB_general_3 ","Movement of feeder pigs to finishing (e.g. from nursery to finishing) ","Feeder pigs to finishing (e.g. from nursery to finishing) ",NA,10,65,"Unclear Consensus","7 to 14 days"
"general",4,"IB_general_4 ","Movement of cull sows and boars direct to slaughter ","Cull sows and boars direct to slaughter ",NA,11,63.16,"Unclear Consensus","14 to 21 days"
"general",5,"IB_general_5 ","Movement of off  size and cull pigs, sows and boars to sale barn/buying station ","Off  size and cull pigs, sows and boars to sale barn/buying station ","General",12,83.78,"High","14 to 21 days"
"general",6,"IB_general_6 ","Movement of off size and cull pigs, sows and boars from sale barn/buying station to slaughter ","Off size and cull pigs, sows and boars from sale barn/buying station to slaughter ",NA,13,79.49,"High","7 to 14 days"
"general",7,"IB_general_7 ","Movement of feeder pigs from sale barn to production site ","Feeder pigs from sale barn to production site ",NA,14,82.05,"High","14 to 21 days"
"general",8,"IB_general_8 ","Movement of dead stock to offsite disposal (landfill, rendering, etc.) ","Dead stock to offsite disposal (landfill, rendering, etc.) ",NA,15,70.73,"Unclear Consensus","2 to 7 days"
"general",9,"IB_general_9 ","Movement of manure to field application offsite ","Manure to field application offsite ",NA,16,55.26,"Unclear Consensus","14 to 21 days"
"genetic",1,"IB_genetic_1 ","Movement of replacement gilts and boars into production system isolation ","Replacement gilts and boars into production system isolation ",NA,17,52.38,"Unclear Consensus","14 to 21 days"
"genetic",2,"IB_genetic_2 ","Movement of replacement gilts and boars onto production site ","Replacement gilts and boars onto production site ","Genetic",18,69.77,"Unclear Consensus","14 to 21 days"
"genetic",3,"IB_genetic_3 ","Movement of semen into a production system (breeding herd) ","Semen into a production system (breeding herd) ",NA,19,50,"Unclear Consensus","2 to 7 days"
"harvest",1,"IB_harvest_1 ","Movement of fresh carcasses to offsite processing ","Fresh carcasses to offsite processing ",NA,20,43.9,"Unclear Consensus","2 to 7 days"
"harvest",2,"IB_harvest_2 ","Movement of raw inedibles (byproducts) from harvest site to further processing ","Raw inedibles (byproducts) from harvest site to further processing ",NA,21,42.86,"Unclear Consensus","2 to 7 days"
"harvest",3,"IB_harvest_3 "," Movement of rendered inedibles from harvest site to further processing "," rendered inedibles from harvest site to further processing ","Harvest",22,29.73,"Unclear Consensus","7 to 14 days"
"harvest",4,"IB_harvest_4 ","Movement of finished products to distributing ","Finished products to distributing ",NA,23,19.44,"Low","2 to 7 days"
"harvest",5,"IB_harvest_5 ","Movement of fresh products to point of service ","Fresh products to point of service ",NA,24,22.86,"Low","2 to 7 days"
"harvest",6,"IB_harvest_6 ","Movement of ready to eat products to point of service ","Ready to eat products to point of service ",NA,25,18.92,"Low","7 to 14 days"
"person",1,"IB_person_1 ","Movement of employees onto, off and/or between production site(s) ","Employees onto, off and/or between production site(s) ",NA,26,75.68,"High","2 to 7 days"
"person",2,"IB_person_2 ","Movement of routine service providers (e.g. plumbers, electricians, etc.) onto, off and/or between sites ","Routine service providers (e.g. plumbers, electricians, etc.) onto, off and/or between sites ",NA,27,71.79,"Unclear Consensus","7 to 14 days"
"person",3,"IB_person_3 ","Movement of veterinarians onto, off and/or between sites ","Veterinarians onto, off and/or between sites ","Person",28,66.67,"Unclear Consensus","7 to 14 days"
"person",4,"IB_person_4 ","Movement of vaccination crews into, off and/or between sites ","Vaccination crews into, off and/or between sites ",NA,29,81.58,"High","7 to 14 days"
"person",5,"IB_person_5 ","Movement of commercial crews onto, off and/or between sites (e.g. manure haulers, feed trucks, livestock haulers) ","Commercial crews onto, off and/or between sites (e.g. manure haulers, feed trucks, livestock haulers) ",NA,30,94.59,"High","7 to 14 days"
